review_id,category,review_text,true_label,has_negation,negation_pattern,negation_cue,rating
R2270,Automotive,The risk felt noisy.,Negative,False,none,,3
R1668,Toys & Games,"Not a performance boost, but a weak downgrade.",Negative,True,not_x_but_y_negative,not ... but,2
R2085,Toys & Games,I love this Toys & Games item—durable build.,Positive,False,none,,4
R1654,Electronics,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,1
R0891,Home & Kitchen,Design is unobtrusive and setup is effortless—truly excellent.,Positive,True,neg_prefix_positive,un-,5
R2572,Pet Supplies,Terrible experience; would not recommend.,Negative,False,none,,3
R0154,Books,"Not a premium device, but a smooth value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R1432,Home & Kitchen,Not bad at all—reliable packaging.,Positive,True,not_bad_at_all,not,4
R1192,Electronics,"Not a premium device, but a clear value for the price.",Positive,True,not_x_but_y_positive,not ... but,3
R0269,Beauty,No proper support and laggy glitch.,Negative,True,no_support,no,3
R2949,Sports,Terrible experience; would not recommend.,Negative,False,none,,1
R2838,Grocery,Really amazing performance; would buy again.,Positive,False,none,,5
R2429,Clothing,Surprisingly fast for the price.,Positive,False,none,,4
R1045,Books,It never works when I need it; blurry glitch.,Negative,True,never_works,never,2
R1411,Beauty,Fails to connect consistently—dim error.,Negative,True,fail_to_connect,fail to,2
R2301,Grocery,The noise felt unreliable.,Negative,False,none,,2
R1355,Automotive,Not bad at all—great packaging.,Positive,True,not_bad_at_all,not,5
R0843,Electronics,"Not a premium device, but a amazing value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R1409,Pet Supplies,"Not a premium device, but a fast value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R2158,Toys & Games,Surprisingly durable for the price.,Positive,False,none,,5
R0298,Pet Supplies,"Not a premium device, but a great value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R0600,Clothing,"Not a premium device, but a comfortable value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R1266,Sports,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,2
R2017,Automotive,The support is excellent.,Positive,False,none,,5
R0197,Pet Supplies,Hardly any improvement; battery life remains fragile.,Negative,True,hardly_any_battery,hardly,1
R1149,Toys & Games,Not as comfortable as described; overpriced in places.,Negative,True,not_as_advertised,not,1
R1902,Clothing,It never works when I need it; fragile glitch.,Negative,True,never_works,never,1
R1052,Home & Kitchen,It never works when I need it; flimsy smell.,Negative,True,never_works,never,3
R1535,Automotive,Design is unobtrusive and setup is effortless—truly durable.,Positive,True,neg_prefix_positive,un-,5
R0604,Toys & Games,Design is unobtrusive and setup is effortless—truly amazing.,Positive,True,neg_prefix_positive,un-,5
R0457,Books,"Not a premium device, but a comfortable value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R0870,Sports,Not as affordable as described; uncomfortable in places.,Negative,True,not_as_advertised,not,2
R2902,Pet Supplies,The price is great.,Positive,False,none,,5
R2758,Beauty,The issue felt laggy.,Negative,False,none,,1
R2132,Toys & Games,Really great fit; would buy again.,Positive,False,none,,3
R0304,Beauty,Came without a manual and the setup was terrible.,Negative,True,without_manual,without,2
R2534,Toys & Games,I love this Toys & Games item—reliable build.,Positive,False,none,,3
R2614,Pet Supplies,Terrible experience; would not recommend.,Negative,False,none,,1
R0589,Grocery,"Not a performance boost, but a useless downgrade.",Negative,True,not_x_but_y_negative,not ... but,2
R1676,Home & Kitchen,"Not a performance boost, but a weak downgrade.",Negative,True,not_x_but_y_negative,not ... but,2
R1794,Grocery,No proper support and blurry heat.,Negative,True,no_support,no,2
R2173,Sports,This Sports product is fragile.,Negative,False,none,,2
R0729,Grocery,"Not only powerful camera, but also powerful build.",Positive,True,not_only_but_also,not only,3
R1189,Pet Supplies,No proper support and overpriced defect.,Negative,True,no_support,no,1
R2402,Clothing,The fit is clear.,Positive,False,none,,5
R2992,Home & Kitchen,This Home & Kitchen purchase was amazing.,Positive,False,none,,4
R1552,Beauty,Design is unobtrusive and setup is effortless—truly clear.,Positive,True,neg_prefix_positive,un-,5
R0039,Grocery,Design is unobtrusive and setup is effortless—truly smooth.,Positive,True,neg_prefix_positive,un-,5
R0258,Electronics,"Not only handy quality, but also handy build.",Positive,True,not_only_but_also,not only,5
R1178,Sports,"Not a premium device, but a useful value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R1715,Clothing,It's not unreliable at all; actually fast.,Positive,True,litotes_not_bad,not,3
R0954,Beauty,I've never been disappointed—reliable price.,Positive,True,never_disappointed,never,5
R0305,Electronics,Not as reliable as described; uncomfortable in places.,Negative,True,not_as_advertised,not,2
R0990,Pet Supplies,It's not uncommon for it to not last; still excellent.,Positive,True,double_negation,not ... not,5
R2590,Books,Disappointed—overpriced overall.,Negative,False,none,,2
R2383,Toys & Games,Really laggy error.,Negative,False,none,,2
R2753,Automotive,The delay felt awful.,Negative,False,none,,2
R1729,Toys & Games,It never works when I need it; flimsy lag.,Negative,True,never_works,never,2
R2396,Automotive,This Automotive product is bad.,Negative,False,none,,2
R1210,Automotive,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,1
R1967,Toys & Games,Disappointed—unreliable overall.,Negative,False,none,,3
R2715,Pet Supplies,Really fantastic display; would buy again.,Positive,False,none,,4
R0517,Automotive,Came without a manual and the setup was unreliable.,Negative,True,without_manual,without,1
R1092,Beauty,It never works when I need it; bad noise.,Negative,True,never_works,never,2
R2610,Grocery,This Grocery product is awful.,Negative,False,none,,2
R2105,Sports,Disappointed—fragile overall.,Negative,False,none,,1
R2477,Home & Kitchen,Really reliable design; would buy again.,Positive,False,none,,5
R1842,Toys & Games,"Not only excellent support, but also excellent build.",Positive,True,not_only_but_also,not only,4
R1771,Home & Kitchen,Not bad at all—amazing design.,Positive,True,not_bad_at_all,not,5
R2907,Home & Kitchen,The camera is handy.,Positive,False,none,,5
R2961,Sports,Really dim defect.,Negative,False,none,,2
R0633,Sports,Came without a manual and the setup was awful.,Negative,True,without_manual,without,2
R0894,Home & Kitchen,"Not a premium device, but a reliable value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R0497,Clothing,It never works when I need it; slow return.,Negative,True,never_works,never,1
R0704,Home & Kitchen,Fails to connect consistently—unreliable waste.,Negative,True,fail_to_connect,fail to,2
R1980,Clothing,Disappointed—weak overall.,Negative,False,none,,1
R2955,Clothing,This Clothing product is fragile.,Negative,False,none,,3
R1876,Grocery,No proper support and terrible waste.,Negative,True,no_support,no,1
R1005,Sports,Hardly any improvement; battery life remains fragile.,Negative,True,hardly_any_battery,hardly,1
R1597,Clothing,No proper support and useless scratch.,Negative,True,no_support,no,3
R0373,Sports,Design is unobtrusive and setup is effortless—truly affordable.,Positive,True,neg_prefix_positive,un-,4
R1454,Books,No proper support and useless waste.,Negative,True,no_support,no,2
R0168,Sports,"Not a premium device, but a reliable value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R2238,Grocery,This Grocery product is noisy.,Negative,False,none,,3
R0441,Pet Supplies,Fails to connect consistently—uncomfortable waste.,Negative,True,fail_to_connect,fail to,2
R2111,Books,Really slow noise.,Negative,False,none,,1
R0680,Beauty,"Not a premium device, but a handy value for the price.",Positive,True,not_x_but_y_positive,not ... but,3
R2990,Toys & Games,This Toys & Games product is slow.,Negative,False,none,,2
R0808,Clothing,Not bad at all—comfortable performance.,Positive,True,not_bad_at_all,not,4
R0300,Grocery,Not bad at all—reliable fit.,Positive,True,not_bad_at_all,not,4
R2493,Books,This Books purchase was comfortable.,Positive,False,none,,5
R2823,Grocery,Disappointed—fragile overall.,Negative,False,none,,1
R2167,Electronics,Really uncomfortable defect.,Negative,False,none,,2
R0568,Toys & Games,Not bad at all—excellent price.,Positive,True,not_bad_at_all,not,3
R2723,Clothing,Really awful noise.,Negative,False,none,,2
R0559,Toys & Games,Came without a manual and the setup was terrible.,Negative,True,without_manual,without,2
R1719,Sports,"Not only smooth features, but also smooth build.",Positive,True,not_only_but_also,not only,4
R0581,Books,Not bad at all—powerful battery life.,Positive,True,not_bad_at_all,not,5
R2622,Electronics,Surprisingly fast for the price.,Positive,False,none,,5
R0901,Sports,It never works when I need it; overpriced heat.,Negative,True,never_works,never,2
R2652,Beauty,Really comfortable packaging; would buy again.,Positive,False,none,,5
R1014,Pet Supplies,Not as fantastic as described; uncomfortable in places.,Negative,True,not_as_advertised,not,1
R2028,Automotive,This Automotive purchase was reliable.,Positive,False,none,,4
R2146,Toys & Games,This Toys & Games purchase was amazing.,Positive,False,none,,5
R2317,Toys & Games,The sound is bright.,Positive,False,none,,5
R2937,Toys & Games,This Toys & Games product is fragile.,Negative,False,none,,2
R1193,Sports,It's not uncommon for it to not last; still reliable.,Positive,True,double_negation,not ... not,4
R1468,Automotive,No proper support and useless scratch.,Negative,True,no_support,no,2
R2616,Books,This Books product is bad.,Negative,False,none,,2
R0089,Beauty,Fails to connect consistently—uncomfortable smell.,Negative,True,fail_to_connect,fail to,3
R1515,Electronics,No proper support and weak return.,Negative,True,no_support,no,2
R1231,Clothing,Hardly any improvement; battery life remains flimsy.,Negative,True,hardly_any_battery,hardly,2
R2505,Clothing,This Clothing product is noisy.,Negative,False,none,,2
R2297,Home & Kitchen,Really comfortable price; would buy again.,Positive,False,none,,5
R0351,Toys & Games,Design is unobtrusive and setup is effortless—truly durable.,Positive,True,neg_prefix_positive,un-,4
R1580,Toys & Games,"Not a performance boost, but a overpriced downgrade.",Negative,True,not_x_but_y_negative,not ... but,3
R0594,Clothing,I've never been disappointed—comfortable display.,Positive,True,never_disappointed,never,5
R0083,Beauty,No proper support and blurry refund.,Negative,True,no_support,no,1
R2381,Beauty,Really useless noise.,Negative,False,none,,3
R0958,Electronics,Fails to connect consistently—bad glitch.,Negative,True,fail_to_connect,fail to,1
R1173,Grocery,Hardly any improvement; battery life remains unreliable.,Negative,True,hardly_any_battery,hardly,2
R2771,Beauty,The performance is handy.,Positive,False,none,,5
R2935,Grocery,This Grocery purchase was fantastic.,Positive,False,none,,3
R2968,Beauty,The performance is powerful.,Positive,False,none,,4
R0868,Sports,I've never been disappointed—reliable camera.,Positive,True,never_disappointed,never,3
R0325,Electronics,"Not a premium device, but a clear value for the price.",Positive,True,not_x_but_y_positive,not ... but,3
R2852,Pet Supplies,I love this Pet Supplies item—amazing display.,Positive,False,none,,3
R2151,Books,This Books product is dim.,Negative,False,none,,2
R0245,Home & Kitchen,It never works when I need it; noisy refund.,Negative,True,never_works,never,2
R0207,Grocery,Design is unobtrusive and setup is effortless—truly great.,Positive,True,neg_prefix_positive,un-,3
R1051,Electronics,No proper support and terrible heat.,Negative,True,no_support,no,2
R1077,Clothing,It never works when I need it; weak risk.,Negative,True,never_works,never,1
R2944,Automotive,Terrible experience; would not recommend.,Negative,False,none,,2
R1753,Pet Supplies,It's not flimsy at all; actually great.,Positive,True,litotes_not_bad,not,4
R0858,Grocery,Not bad at all—affordable build.,Positive,True,not_bad_at_all,not,4
R0922,Beauty,"Not a premium device, but a great value for the price.",Positive,True,not_x_but_y_positive,not ... but,3
R0313,Automotive,It's not uncommon for it to not pair; still fast.,Positive,True,double_negation,not ... not,5
R1292,Clothing,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,2
R1714,Beauty,Not as smooth as described; overpriced in places.,Negative,True,not_as_advertised,not,2
R0203,Books,Design is unobtrusive and setup is effortless—truly useful.,Positive,True,neg_prefix_positive,un-,5
R2166,Clothing,The noise felt uncomfortable.,Negative,False,none,,2
R1905,Books,"Not a performance boost, but a flimsy downgrade.",Negative,True,not_x_but_y_negative,not ... but,2
R0591,Beauty,It never works when I need it; noisy return.,Negative,True,never_works,never,2
R1590,Home & Kitchen,"Not only clear sound, but also clear build.",Positive,True,not_only_but_also,not only,5
R0051,Beauty,Not bad at all—durable sound.,Positive,True,not_bad_at_all,not,3
R1634,Grocery,Design is unobtrusive and setup is effortless—truly excellent.,Positive,True,neg_prefix_positive,un-,5
R2191,Clothing,Terrible experience; would not recommend.,Negative,False,none,,1
R1211,Toys & Games,"Not a premium device, but a clear value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R0082,Grocery,"Not a premium device, but a comfortable value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R2526,Clothing,Really uncomfortable smell.,Negative,False,none,,1
R0372,Toys & Games,No proper support and weak glitch.,Negative,True,no_support,no,2
R0438,Books,Design is unobtrusive and setup is effortless—truly bright.,Positive,True,neg_prefix_positive,un-,4
R0200,Books,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,3
R0895,Home & Kitchen,Not bad at all—bright build.,Positive,True,not_bad_at_all,not,3
R1028,Clothing,It's not uncommon for it to not connect; still excellent.,Positive,True,double_negation,not ... not,4
R1399,Toys & Games,I've never been disappointed—useful camera.,Positive,True,never_disappointed,never,3
R0875,Toys & Games,"Not a performance boost, but a useless downgrade.",Negative,True,not_x_but_y_negative,not ... but,1
R2231,Sports,Really dim delay.,Negative,False,none,,2
R2945,Grocery,This Grocery product is noisy.,Negative,False,none,,2
R0047,Pet Supplies,Hardly any improvement; battery life remains weak.,Negative,True,hardly_any_battery,hardly,2
R0899,Pet Supplies,"Not only powerful build, but also powerful build.",Positive,True,not_only_but_also,not only,5
R2825,Beauty,The fit is fast.,Positive,False,none,,5
R0915,Home & Kitchen,"Not a performance boost, but a useless downgrade.",Negative,True,not_x_but_y_negative,not ... but,2
R0716,Sports,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,3
R2327,Automotive,The display is affordable.,Positive,False,none,,5
R0358,Pet Supplies,Fails to connect consistently—weak risk.,Negative,True,fail_to_connect,fail to,1
R1880,Beauty,It's not uncomfortable at all; actually amazing.,Positive,True,litotes_not_bad,not,5
R1350,Beauty,It's not blurry at all; actually smooth.,Positive,True,litotes_not_bad,not,5
R0389,Clothing,It never works when I need it; awful error.,Negative,True,never_works,never,2
R0067,Toys & Games,Not as fantastic as described; dim in places.,Negative,True,not_as_advertised,not,2
R2592,Grocery,The delay felt bad.,Negative,False,none,,2
R2980,Pet Supplies,This Pet Supplies product is weak.,Negative,False,none,,3
R2275,Clothing,Really flimsy waste.,Negative,False,none,,1
R0852,Sports,It's not uncommon for it to not pair; still affordable.,Positive,True,double_negation,not ... not,5
R0859,Automotive,It's not awful at all; actually durable.,Positive,True,litotes_not_bad,not,5
R2050,Beauty,The battery life is reliable.,Positive,False,none,,4
R1391,Sports,It's not uncommon for it to not charge; still clear.,Positive,True,double_negation,not ... not,4
R0541,Pet Supplies,It never works when I need it; noisy glitch.,Negative,True,never_works,never,2
R0312,Grocery,"Not only amazing price, but also amazing build.",Positive,True,not_only_but_also,not only,4
R2956,Home & Kitchen,Disappointed—awful overall.,Negative,False,none,,3
R2951,Clothing,The glitch felt awful.,Negative,False,none,,2
R2671,Home & Kitchen,I love this Home & Kitchen item—great build.,Positive,False,none,,4
R2784,Home & Kitchen,Really terrible refund.,Negative,False,none,,2
R0367,Sports,"Not a performance boost, but a laggy downgrade.",Negative,True,not_x_but_y_negative,not ... but,1
R0227,Pet Supplies,Fails to connect consistently—dim risk.,Negative,True,fail_to_connect,fail to,2
R0842,Books,Not as affordable as described; blurry in places.,Negative,True,not_as_advertised,not,2
R1787,Automotive,Design is unobtrusive and setup is effortless—truly useful.,Positive,True,neg_prefix_positive,un-,4
R1878,Electronics,"Not a premium device, but a reliable value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R0697,Books,Design is unobtrusive and setup is effortless—truly clear.,Positive,True,neg_prefix_positive,un-,3
R0687,Beauty,It's not uncommon for it to not pair; still fantastic.,Positive,True,double_negation,not ... not,5
R2244,Beauty,Really powerful camera; would buy again.,Positive,False,none,,5
R1900,Sports,Not as handy as described; fragile in places.,Negative,True,not_as_advertised,not,2
R0598,Home & Kitchen,Not bad at all—bright build.,Positive,True,not_bad_at_all,not,5
R2738,Sports,Terrible experience; would not recommend.,Negative,False,none,,1
